Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Return on capital employed,Return on equity,Debt to equity,OPM,Sales growth 3Years,Profit growth 3Years,Price to Earning,EBIT,Net block,Enterprise Value,Promoter holding,Pledged percentage,Change in promoter holding 3Years
Quest Capital,500069,,INE418C01012,Capital Markets,Other Capital Market related Services,251.30,251.30,2.58,1.98,0.00,97.53,-0.78,7.65,11.06,29.58,0.00,244.44,75.00,0.00,0.00
R G F Capital,539669,,INE684D01025,Finance,Non Banking Financial Company (NBFC),1.51,22.65,2.67,0.29,0.00,63.51,50.00,,125.83,0.50,0.00,18.43,24.98,0.00,0.00
R R Fin. Cons.,511626,,INE229D01011,Finance,Non Banking Financial Company (NBFC),65.02,71.91,15.93,13.89,0.25,34.44,21.96,129.69,9.30,11.32,23.56,83.45,74.87,0.00,6.46
Raama Finance,538540,,INE516P01015,Finance,Non Banking Financial Company (NBFC),17.13,139.03,22.94,18.54,0.10,33.28,194.95,586.83,18.76,10.93,1.93,138.74,54.93,0.00,43.43
Rajkot Inv.Trust,539495,,INE176R01014,Finance,Non Banking Financial Company (NBFC),43.00,4.30,0.55,2.71,5.91,7.32,18.56,86.63,33.08,0.17,0.00,29.22,0.00,0.00,0.00
Rajputana Invest,539090,,INE751R01014,Finance,Non Banking Financial Company (NBFC),30.35,9.35,1.47,0.98,0.00,-4.00,74.59,-12.64,133.57,0.10,0.00,8.01,74.64,0.00,0.00
Rama Petrochem,500358,,INE783A01013,Finance,Non Banking Financial Company (NBFC),12.34,19.03,-44.12,,,-103.64,-29.90,,,-0.95,0.71,83.43,68.28,0.00,14.89
Rander Corpn.,531228,,INE821D01031,Finance,Non Banking Financial Company (NBFC),13.14,16.21,-8.35,-6.50,0.03,-27.87,7.68,,,-1.56,5.41,16.12,24.14,0.00,0.85
Rane Holdings,505800,RANEHOLDIN,INE384A01010,Finance,Holding Company,1598.90,2283.23,9.52,7.00,0.88,6.08,18.83,4.34,28.96,241.37,1179.11,3249.58,46.64,0.00,0.06
Ranjit Securitie,531572,,INE863D01017,Finance,Non Banking Financial Company (NBFC),62.50,16.81,1.87,1.17,0.00,-1.75,28.14,-28.31,840.50,0.08,0.21,16.35,42.56,0.00,0.00
RBL Bank,540065,RBLBANK,INE976G01028,Banks,Private Sector Bank,382.00,59245.89,5.77,5.11,9.38,35.92,14.00,-2.33,67.65,9303.80,545.45,201046.36,60.00,0.00,60.00
Real Touch Fin,538611,,INE840I01014,Finance,Other Financial Services,47.25,59.97,11.13,10.45,4.44,68.80,55.65,25.59,11.97,28.97,0.53,288.55,54.12,0.00,0.00
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,316.80,83420.54,9.71,20.12,6.10,95.26,14.70,13.50,5.20,56437.94,615.50,597093.04,52.63,0.00,0.00
Regal Entertain.,531033,,INE101E01010,Finance,Non Banking Financial Company (NBFC),15.95,14.21,1.48,2.19,0.07,4.95,115.44,54.20,74.79,0.14,0.00,14.00,27.00,0.00,-8.08
Regency Fincorp,540175,,INE964R01013,Finance,Other Financial Services,47.32,420.42,10.51,9.51,0.97,74.35,36.63,144.34,24.33,36.29,6.47,524.68,21.43,0.00,-3.55
Regis Industries,543208,,INE745R01024,Finance,Non Banking Financial Company (NBFC),2.10,54.20,2.86,2.86,0.00,11.99,-41.34,62.65,44.79,1.21,0.00,54.15,0.00,0.00,0.00
Reliable Data,544207,RELIABLE,INE375Y01018,Finance,Other Financial Services,139.75,144.22,12.16,10.81,0.35,9.21,36.46,19.85,15.66,15.78,20.42,163.92,67.79,0.00,-3.98
Reliance Home,540709,RHFL,INE217K01011,Finance,Housing Finance Company,1.87,90.71,-432.21,,,-1463.64,-90.91,25.98,,-3.22,0.00,130.27,0.74,0.00,-42.87
Relic Tech.,511712,,INE452B01013,Finance,Other Financial Services,73.40,41.04,-34.29,-28.72,0.15,-266.09,29.50,,,-4.16,1.03,42.64,44.93,0.00,-21.28
Religare Enterp.,532915,RELIGARE,INE621H01010,Finance,Investment Company,233.05,8034.02,3.06,3.17,0.17,0.73,21.82,70.62,162.14,48.29,135.81,6824.57,30.55,0.00,30.55
Repco Home Fin,535322,REPCOHOME,INE612J01015,Finance,Housing Finance Company,365.50,2286.62,10.17,12.73,3.02,88.61,11.71,14.56,4.75,1575.06,99.89,14200.38,37.13,0.00,0.00
Rich Universe,530271,,INE652D01014,Finance,Non Banking Financial Company (NBFC),9.50,6.89,5.59,6.81,0.22,19.05,,268.40,8.72,0.79,0.00,8.52,12.38,0.00,-2.26
Richfield Fin,539435,,INE201C01012,Finance,Other Financial Services,19.48,18.81,9.08,3.10,4.72,40.24,229.83,227.11,30.84,6.74,1.02,82.62,37.13,0.00,-10.39
Rikhav Securitie,544340,,INE0CFH01028,Capital Markets,Stockbroking & Allied,43.50,166.57,13.12,8.07,0.03,0.86,232.98,-1.94,8.75,31.49,6.83,-62.80,64.06,16.62,
Rita Finance and,543256,,INE018S01016,Finance,Non Banking Financial Company (NBFC),10.05,10.05,5.33,4.16,0.19,67.63,4.66,-2.74,16.21,0.96,0.00,13.20,28.89,77.32,-42.85
RNFI Services,,RNFI,INE0SA001017,Finance,Other Financial Services,289.10,733.07,27.26,20.57,0.17,5.73,-3.16,75.40,25.83,44.88,60.17,663.32,64.35,0.00,
Roselabs Finance,531324,,INE475C01012,Finance,Other Financial Services,22.75,22.75,-166.67,,,-16.53,,12.56,,-0.20,0.00,27.77,74.25,0.00,0.00
RRPSemiconductor,504346,,INE713N01013,Finance,Other Financial Services,8458.80,11524.27,-32.66,-61.01,0.65,-105.13,,,,-7.07,0.00,11530.11,1.28,0.00,-73.22
RSD Finance,539875,RSDFIN,INE616F01022,Finance,Non Banking Financial Company (NBFC),100.39,129.97,8.02,5.96,0.01,39.94,-27.05,5.01,10.32,20.23,17.67,126.96,74.98,0.00,0.00
Sahara Housing,511533,,INE135C01012,Finance,Housing Finance Company,39.90,27.93,2.87,0.65,0.25,30.59,-13.85,-37.90,93.10,1.82,2.65,34.65,71.35,0.00,0.00
Sakthi Finance,511066,,INE302E01014,Finance,Investment Company,27.75,179.56,10.87,7.33,4.84,74.03,3.16,11.33,10.37,147.33,80.24,1165.79,67.01,0.00,-0.01
Salem Erode Inv.,540181,,INE894E01028,Finance,Non Banking Financial Company (NBFC),33.73,38.67,-10.44,-28.60,0.95,-71.00,-4.50,,,-3.47,8.54,51.85,75.00,0.00,0.00
Sammaan Capital,535789,SAMMAANCAP,INE148I01020,Finance,Housing Finance Company,145.80,16935.30,4.92,-3.18,2.73,45.47,-2.16,,,3330.15,340.55,57827.95,28.34,0.00,28.34
Sangam Finserv,538714,,INE475D01010,Finance,Non Banking Financial Company (NBFC),39.49,184.07,4.73,2.42,0.40,66.77,-2.08,-20.30,24.22,15.39,0.39,223.26,63.08,0.00,0.00
Saraswati Commer,512020,ZSARACOM,INE967G01019,Finance,Non Banking Financial Company (NBFC),10991.00,1204.53,10.86,8.92,0.00,96.95,71.40,99.13,9.10,160.02,0.05,1202.60,74.88,0.00,2.55
Sarvottam Finve.,539124,,INE822Q01015,Finance,Non Banking Financial Company (NBFC),18.86,14.15,-0.69,-0.77,0.00,-10.84,-10.80,22.52,,-0.18,0.01,13.95,24.00,0.00,0.00
Satin Creditcare,539404,SATIN,INE836B01017,Finance,Microfinance Institutions,222.37,2456.54,13.84,12.29,3.84,56.61,26.60,312.62,6.00,1800.39,154.48,11196.94,36.17,0.00,-5.53
Saumya Cons,539218,,INE563C01015,Finance,Non Banking Financial Company (NBFC),122.15,84.37,-5.33,-3.77,0.00,-6.12,-20.69,,,-0.91,2.50,84.47,54.88,0.00,0.00
SBFC Finance,543959,SBFC,INE423Y01016,Finance,Non Banking Financial Company (NBFC),98.75,10943.54,11.82,13.05,1.92,68.81,31.73,44.23,22.80,1206.81,314.09,17460.22,52.31,0.00,
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,1047.50,966907.19,6.13,15.38,11.08,45.02,13.64,14.38,11.51,433642.01,57326.63,7649004.71,55.47,0.00,-2.00
SBI Cards,543066,SBICARD,INE018E01016,Finance,Non Banking Financial Company (NBFC),641.05,61005.08,10.10,14.69,2.80,26.78,13.34,-1.37,26.81,6061.21,219.01,102749.03,68.86,0.00,-0.10
SBI Funds Mgt.,544829,SBIFUNDS,INE640G01020,Capital Markets,Asset Management Company,563.80,114836.34,56.50,43.02,0.00,81.52,27.34,31.80,37.06,4028.89,391.00,114727.94,88.19,0.00,
SBI Life Insuran,540719,SBILIFE,INE123W01016,Insurance,Life Insurance,1761.10,176699.89,14.95,13.70,0.00,0.70,11.68,12.81,67.94,2833.81,740.13,175173.15,55.32,0.00,-0.13
Scintilla Comm,538857,,INE892C01018,Finance,Non Banking Financial Company (NBFC),9.98,10.01,-1.21,-1.92,0.09,-20.31,6.38,,,-0.13,0.00,10.82,18.81,0.00,0.00
Sera Investments,512399,,INE017I01027,Finance,Non Banking Financial Company (NBFC),45.05,295.05,21.12,18.10,0.00,95.60,,79.71,2.87,122.02,1.25,264.58,57.69,0.00,-12.31
Seshaasai Tech.,544533,STYL,INE04VU01023,Financial Technology (Fintech),Financial Technology (Fintech),402.10,6506.21,27.98,23.57,0.06,26.62,7.91,31.62,24.20,376.45,499.42,6178.22,81.80,0.00,
SG Finserve,539199,SGFIN,INE618R01015,Finance,Non Banking Financial Company (NBFC),684.55,4510.84,9.32,10.32,1.85,92.88,100.41,90.71,28.76,373.01,2.35,7010.89,56.95,0.00,7.57
Shalibhadra Fin.,511754,SAHLIBHFI,INE861D01011,Finance,Non Banking Financial Company (NBFC),76.84,237.35,14.65,11.94,0.33,75.60,13.98,32.47,11.98,32.20,4.33,287.16,58.10,0.00,2.75
Shardul Sec.,512393,SHARDUL,INE037B01020,Capital Markets,Stockbroking & Allied,52.14,456.18,-5.88,-7.22,0.42,33.49,6.23,,19.69,46.90,16.99,675.69,74.85,0.00,0.01
Share India Sec.,540725,SHAREINDIA,INE932X01026,Capital Markets,Stockbroking & Allied,167.93,3674.74,18.41,13.02,0.26,40.12,10.54,-0.43,10.11,634.72,65.25,1239.82,48.62,57.80,-4.19
Share Samadhan,544251,,INE0LY301010,Finance,Other Financial Services,47.87,58.74,1.58,1.52,0.01,-7.25,31.04,6.51,101.28,0.63,3.68,47.52,62.52,0.00,
Sharp Investment,538212,,INE909D01026,Finance,Non Banking Financial Company (NBFC),0.40,9.68,0.04,0.04,0.00,34.38,33.21,,56.94,0.17,0.00,5.66,19.37,0.00,-16.70
Shikhar Cons.,526883,,INE641B01011,Finance,Non Banking Financial Company (NBFC),11.25,5.11,-4.01,-6.20,0.59,,,0.00,,-0.11,0.00,6.12,41.62,0.00,0.00
Shipping Land,544142,SCILAL,INE0PB301013,Finance,Investment Company,40.38,1880.90,1.31,0.96,0.00,-162.08,23.07,-6.76,66.00,38.22,2402.54,1879.38,63.75,0.00,
Shivansh Finserv,539593,,INE728Q01014,Finance,Other Financial Services,15.14,9.45,7.00,6.42,0.43,18.94,67.89,57.53,16.88,0.97,0.05,11.73,1.03,0.00,0.44
Shree Metalloys,531962,,INE914B01012,Finance,Non Banking Financial Company (NBFC),38.94,20.47,17.88,13.44,0.00,1.74,4.30,32.74,11.44,2.63,0.57,17.86,72.00,0.00,-1.07
Shree Salasar,503635,,INE315N01017,Finance,Other Financial Services,367.10,255.94,20.28,30.34,1.33,29.69,215.15,375.27,11.93,36.16,0.16,342.50,67.12,0.00,3.59
Shree Securities,538975,,INE397C01026,Finance,Non Banking Financial Company (NBFC),0.19,15.16,1.53,0.64,0.79,51.59,19.45,31.48,126.33,0.65,0.00,20.40,0.00,0.00,-30.62
SHRI NIWAS L& F.,538897,,INE201F01015,Finance,Non Banking Financial Company (NBFC),16.33,8.88,195.35,,,736.73,62.07,1458.64,0.83,10.83,0.01,1172.27,15.71,0.00,13.77
Shriram AMC,531359,,INE777G01012,Capital Markets,Asset Management Company,281.50,478.01,-18.75,-18.86,0.00,-189.98,28.06,,,-24.26,1.10,477.36,70.85,0.00,6.91
Shriram Finance,511218,SHRIRAMFIN,INE721A01047,Finance,Non Banking Financial Company (NBFC),1086.90,255745.78,11.49,16.39,3.80,73.97,16.44,18.60,22.60,36344.39,2635.40,498494.61,20.30,0.00,-5.18
Shrydus Indust.,511493,,INE488C01015,Finance,Non Banking Financial Company (NBFC),4.21,13.48,-0.12,-0.12,0.00,-287.00,-72.18,,,-2.86,0.01,13.37,25.86,0.00,-0.78
Shyamkamal Inv,505515,,INE203N01015,Finance,Other Financial Services,12.80,33.81,5.15,1.70,0.60,68.00,,41.81,52.83,1.70,0.01,45.32,0.00,0.00,-2.59
Siddha Ventures,530439,,INE140C01012,Finance,Non Banking Financial Company (NBFC),4.42,4.42,-0.34,-0.34,0.00,-24.30,-7.23,,442.00,0.02,0.00,4.10,5.76,0.00,0.00
SIL Investments,521194,SILINV,INE923A01015,Finance,Investment Company,490.05,519.45,1.75,1.32,0.00,85.91,12.75,10.44,10.36,61.49,109.81,499.35,63.79,0.00,0.00
Silveroak Comm,512197,,INE798C01017,Finance,Non Banking Financial Company (NBFC),5.94,1.63,-77.32,-3559.09,,-145.02,-43.28,,,-6.46,5.52,13.63,,,
SKP Securities,531169,,INE709B01016,Capital Markets,Stockbroking & Allied,103.02,70.14,21.71,18.65,0.32,35.60,21.98,49.19,7.21,14.51,11.07,50.30,74.99,0.00,0.01
Smart Finsec,539494,,INE766D01020,Finance,Non Banking Financial Company (NBFC),8.39,25.17,8.41,6.06,0.00,73.46,-59.99,-11.42,22.27,1.57,1.30,22.28,74.99,0.00,2.86
SMC Global Sec.,543263,SMCGLOBAL,INE103C01036,Capital Markets,Stockbroking & Allied,79.20,1658.45,11.38,8.07,1.56,19.48,15.71,-5.22,15.24,363.74,121.98,952.77,66.71,8.38,-0.66
Sodhani Capital,544560,,INE0QU501030,Capital Markets,Financial Products Distributor,70.00,55.61,24.99,18.56,0.00,69.60,24.36,25.11,23.66,3.17,6.51,55.47,73.57,0.00,
Softrak Venture,531529,,INE562E01021,Finance,Non Banking Financial Company (NBFC),1.50,67.62,0.57,0.35,0.00,-132.08,17.71,-18.90,322.00,0.31,11.61,64.34,0.00,0.00,0.00
Sonal Mercantile,538943,SONAL,INE321M01017,Finance,Non Banking Financial Company (NBFC),85.45,125.94,6.09,6.91,0.76,97.65,15.59,12.69,6.34,35.57,5.31,420.38,24.92,0.00,0.00
South Ind.Bank,532218,SOUTHBANK,INE683A01023,Banks,Private Sector Bank,45.37,11883.77,6.42,13.51,10.97,66.71,10.83,23.33,7.87,8512.92,1040.89,136527.37,0.00,0.00,0.00
SPA CAPT SER,542376,,INE726X01014,Finance,Other Financial Services,200.45,61.62,3.64,5.05,0.95,4.76,32.53,48.27,37.12,2.34,1.74,78.46,68.74,0.00,0.00
Spandana Sphoort,542759,SPANDANA,INE572J01011,Finance,Microfinance Institutions,244.30,1741.98,-5.78,-29.38,1.85,1.61,-9.92,,,59.70,39.00,4410.01,48.16,0.00,-14.25
Srestha Finvest,539217,,INE606K01049,Finance,Investment Company,0.27,51.57,-5.57,-4.54,0.29,-1066.67,39.34,-21.76,,-52.10,1.17,99.19,0.00,0.00,0.00
SRG Fingrow Fin,536710,,INE326P01019,Finance,Non Banking Financial Company (NBFC),31.10,16.72,1.90,1.42,0.00,22.88,-13.29,-26.08,79.62,0.28,0.38,13.96,69.01,0.00,4.97
SRG Housing,534680,SRGHFL,INE559N01010,Finance,Housing Finance Company,254.90,400.39,11.77,11.59,2.89,62.63,28.70,23.95,11.71,127.10,20.05,1239.09,59.02,0.00,-8.81
SSPN FINANCE,539026,,INE820R01017,Finance,Other Financial Services,6.37,2.41,1.71,0.23,0.58,35.48,6.04,,241.00,0.11,0.01,4.94,0.00,0.00,-9.14
Standard Battery,504180,,INE502C01039,Finance,Non Banking Financial Company (NBFC),44.76,23.15,-41.32,-41.32,0.00,,,24.01,,-0.50,0.00,23.08,40.62,84.27,0.00
Stanrose Mafat.,506105,,INE441L01015,Finance,Investment Company,71.95,28.56,-8.15,-8.40,0.07,-78.08,-3.99,,,-3.44,2.66,29.62,48.73,0.00,0.15
Star Health Insu,543412,STARHEALTH,INE575P01011,Insurance,General Insurance,573.50,33757.56,9.69,7.61,,5.98,13.80,-3.45,39.99,1144.01,0.00,33757.56,58.01,0.00,-0.25
Star Housing Fin,539017,,INE526R01028,Finance,Housing Finance Company,5.00,39.48,12.10,7.95,2.67,62.88,70.36,160.82,5.95,62.04,3.69,394.13,17.50,0.00,-4.72
Starteck Fin.,512381,STARTECK,INE992I01013,Finance,Non Banking Financial Company (NBFC),253.45,251.18,9.10,9.50,1.33,90.32,8.21,28.26,10.30,50.42,116.29,601.57,73.30,0.00,1.78
Std. Capital Mkt,511700,,INE625D01028,Finance,Non Banking Financial Company (NBFC),0.33,81.00,16.80,20.42,5.00,71.01,218.06,230.48,28.62,242.67,17.87,2250.31,2.65,0.00,-15.21
Steel City Sec.,,STEELCITY,INE395H01011,Capital Markets,Stockbroking & Allied,84.16,127.14,14.46,10.68,0.07,30.74,4.31,8.43,7.47,24.15,23.58,75.10,74.70,0.00,5.89
STEL Holdings,533316,STEL,INE577L01016,Finance,Investment Company,636.90,1175.42,1.58,1.18,0.00,97.20,16.92,17.42,59.91,26.04,0.71,1173.04,72.05,0.00,8.25
Stellant Secu.,526071,,INE395F01023,Finance,Other Financial Services,1078.15,596.86,71.73,53.02,0.00,81.66,582.52,792.25,16.27,49.60,0.00,559.32,45.25,0.00,-8.66
Stellar Capital,536738,,INE325P01011,Finance,Other Financial Services,5.70,14.23,-0.19,-0.38,0.01,11.45,-10.25,20.36,,-0.10,1.29,14.76,24.05,0.00,0.00
Step Two Corp.,531509,,INE623D01015,Finance,Other Financial Services,22.50,16.64,-32.15,-23.76,0.00,-24.27,72.25,,,-2.11,0.12,16.62,56.33,0.00,-10.31
Sugal & Damani,511654,,INE309D01011,Finance,Non Banking Financial Company (NBFC),64.96,40.60,19.34,14.80,0.02,18.03,149.88,75.05,17.89,3.20,0.47,38.57,72.43,0.00,1.39
Sujala Trading &,539117,,INE029H01016,Finance,Non Banking Financial Company (NBFC),13.26,7.59,-0.10,-0.13,0.00,-50.00,-30.18,,,-0.26,0.00,7.58,15.57,0.00,0.00
Sulabh Engineers,508969,,INE673M01029,Finance,Non Banking Financial Company (NBFC),2.70,27.13,4.69,2.42,0.00,43.46,6.78,-8.62,16.05,2.46,22.66,26.88,25.57,0.00,0.00
Sumedha Fiscal,530419,SUMEDHA,INE886B01012,Finance,Other Financial Services,39.27,31.35,3.96,2.56,0.00,3.89,21.80,3.44,11.12,3.70,13.02,23.54,50.25,0.00,0.69
Summit Securitie,533306,SUMMITSEC,INE519C01017,Finance,Investment Company,1421.00,1549.14,1.52,1.14,0.00,78.82,41.79,41.34,12.94,152.65,0.02,1547.06,74.64,0.00,0.00
Sundaram Finance,590071,SUNDARMFIN,INE660A01013,Finance,Non Banking Financial Company (NBFC),4574.40,50823.35,9.44,15.01,4.68,78.75,21.44,16.75,22.32,7776.76,1456.84,118939.97,37.21,0.00,-1.28
Sungold Capital,531433,,INE271D01013,Finance,Non Banking Financial Company (NBFC),2.79,5.13,0.35,0.18,0.00,1.33,-4.86,10.06,256.50,0.03,0.01,4.78,23.81,0.00,-0.51
Superior Finleas,539835,,INE574R01028,Finance,Non Banking Financial Company (NBFC),1.70,5.10,0.12,0.89,7.48,16.67,-32.79,-46.69,170.00,0.03,0.35,49.76,3.06,0.00,0.00
Supra Pacific,540168,,INE268T01015,Finance,Non Banking Financial Company (NBFC),33.46,164.42,11.99,8.66,3.09,56.22,92.69,211.78,17.62,52.68,82.64,482.27,32.17,0.00,24.21
Supra Trends,511539,,INE533B01028,Finance,Other Financial Services,14.50,34.30,-7.17,-11.55,0.36,-8.20,,,,-1.10,10.65,38.71,45.15,0.00,44.07
Suryoday Small,543279,SURYODAY,INE428Q01011,Banks,Other Bank,154.26,1639.73,7.33,7.58,8.24,42.66,22.21,25.04,8.55,1374.82,293.17,17042.41,22.48,22.35,-0.82
Suvidhaa Info.,543281,SUVIDHAA,INE018401013,Financial Technology (Fintech),Financial Technology (Fintech),2.29,48.05,-28.03,-29.79,0.05,-141.80,-51.82,,,-7.65,2.09,46.90,38.33,0.00,-0.44
Svaraj Trading,503624,,INE406N01014,Finance,Other Financial Services,7.37,10.87,1.07,1.13,0.00,,,96.61,,-0.71,1.63,10.82,4.91,0.00,-2.96
Swarna Securitie,531003,,INE595G01018,Finance,Non Banking Financial Company (NBFC),89.20,26.76,11.34,9.01,0.00,,,-4.42,39.35,0.87,4.48,25.06,63.69,0.00,0.00
Swastika Investm,530585,,INE691C01022,Capital Markets,Stockbroking & Allied,179.75,361.27,20.39,10.47,0.11,27.63,7.52,28.27,26.54,30.23,5.64,5.68,59.88,0.00,-3.54
Swati Projects,543914,,INE210F01016,Finance,Non Banking Financial Company (NBFC),51.17,51.68,62.36,50.49,0.04,33.48,184.28,102.68,7.37,11.67,0.83,49.96,23.85,0.00,-0.01
Symbiox Investme,539278,,INE653R01012,Finance,Other Financial Services,1.80,5.63,0.66,0.47,0.00,16.31,-26.32,-2.13,35.19,0.23,0.01,4.46,3.33,0.00,0.00
Systematix Corp.,526506,SYSTMTXC,INE356B01024,Capital Markets,Stockbroking & Allied,57.12,779.91,8.49,4.62,0.06,7.49,25.82,40.80,,11.08,34.79,565.73,70.58,0.00,-3.57
Systematix Sec.,531432,,INE07P301011,Finance,Non Banking Financial Company (NBFC),13.00,6.50,-0.69,-0.69,0.00,-9.68,-8.15,,,-0.03,0.00,6.44,10.41,0.00,-0.10
T N Merc. Bank,543596,TMB,INE668A01016,Banks,Private Sector Bank,886.05,14030.73,7.51,13.99,6.24,73.14,12.56,9.12,9.72,5342.63,312.09,77275.58,0.00,0.00,0.00
Tamboli Industri,533170,TAMBOLIIN,INE864J01012,Finance,Holding Company,259.43,257.35,11.98,8.80,0.02,21.48,-1.12,-0.26,23.29,15.53,63.43,240.10,52.83,0.00,0.51
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),375.70,159479.73,8.58,12.36,5.15,74.08,32.30,17.17,29.34,23672.95,2604.32,392102.69,85.41,0.00,
Tata Inv.Corpn.,501301,TATAINVEST,INE672A01026,Finance,Investment Company,638.75,32317.75,1.57,1.44,0.00,89.41,13.26,19.86,75.00,487.79,170.55,32307.76,73.38,0.00,0.00
TCFC Finance,532284,,INE389D01013,Finance,Non Banking Financial Company (NBFC),25.82,27.06,-3.17,-1.68,0.00,-200.83,,,46.66,-2.63,0.64,26.73,67.99,0.00,-0.06
TCI Finance,501242,TCIFINANCE,INE911B01018,Finance,Non Banking Financial Company (NBFC),15.23,19.60,,,,,,8.88,,-0.79,1.25,19.55,24.72,0.00,0.00
Team India Guar.,511559,TEAMGTY,INE289C01025,Finance,Non Banking Financial Company (NBFC),240.33,216.06,2.89,1.50,0.00,19.10,40.96,-8.50,198.22,1.37,0.03,211.25,74.91,0.00,-0.01
Thacker & Co.,509945,THACKER,INE077P01034,Finance,Other Financial Services,999.60,108.73,2.28,11.29,0.00,88.81,-7.25,15.36,5.75,4.02,13.50,108.23,68.89,0.00,4.61
The Invest.Trust,530023,THEINVEST,INE924D01017,Finance,Other Financial Services,95.00,496.30,8.54,4.01,0.08,17.47,-2.18,35.89,15.23,75.94,11.42,322.61,72.12,0.00,0.00
Thirani Projects,538464,,INE901C01017,Finance,Non Banking Financial Company (NBFC),3.18,6.43,5.92,3.71,0.00,-208.57,9.35,39.10,,-2.15,0.00,5.99,0.00,0.00,-20.14
Tilak Ventures,503663,,INE026L01022,Finance,Investment Company,1.32,176.50,7.35,5.20,0.00,33.93,50.31,58.19,15.05,16.39,0.93,148.20,61.98,0.00,-0.65
Titan Securities,530045,,INE090D01017,Finance,Non Banking Financial Company (NBFC),41.08,102.78,1.14,11.97,0.00,20.25,20.46,-3.16,7.23,1.11,0.11,102.63,73.95,0.00,0.00
Tokyo Finance,531644,,INE546D01018,Finance,Non Banking Financial Company (NBFC),19.63,13.68,1.46,1.46,0.00,23.53,6.27,12.31,68.40,0.20,0.00,13.67,65.67,0.00,4.67
Tomorrow Tech.,512018,,INE135H01029,Finance,Other Financial Services,7.83,89.89,-3.39,-3.39,0.00,-1516.67,,,,-0.42,0.00,89.75,37.11,0.00,0.00
Tour. Fin. Corp.,526650,TFCILTD,INE305A01023,Finance,Financial Institution,140.54,6506.68,11.13,9.75,0.82,89.03,6.13,12.01,42.22,293.67,13.25,7516.67,3.85,0.00,-14.11
Toyam Sports,538607,TOYAMSL,INE457P01020,Finance,Other Financial Services,0.63,36.40,-6.50,-3.35,0.00,-2026.09,-35.26,6.55,,-18.67,163.82,36.33,0.00,0.00,0.00
Transcorp Intl.,532410,TRANSCOR,INE330E01023,Finance,Other Financial Services,24.70,79.07,15.30,12.02,0.20,1.10,-32.44,273.55,8.28,14.55,31.30,31.31,72.69,0.00,-0.41
Transwar.Fin.,532812,TFL,INE804H01012,Finance,Non Banking Financial Company (NBFC),12.46,68.67,-0.38,-12.49,1.07,-11.81,7.21,16.63,,0.19,7.65,97.65,53.99,47.16,-7.82
Trinity League,531846,,INE884X01011,Finance,Other Financial Services,9.75,7.72,-5.78,-5.78,0.00,-161.11,-62.67,,,-0.14,0.12,7.71,61.01,0.00,1.31
Trio Merc. Trad.,534755,,INE234G01022,Finance,Other Financial Services,2.48,16.85,0.53,0.04,0.06,-22.88,-8.90,28.06,842.50,0.10,0.02,18.16,4.81,0.00,0.00
Triumph Intl.,532131,,INE382B01012,Finance,Other Financial Services,16.62,12.47,8.58,,,,,18.16,3.04,4.10,0.75,121.60,31.52,0.00,-0.14
TruCap Finance,540268,TRU,INE615R01029,Finance,Non Banking Financial Company (NBFC),4.12,48.97,-14.42,-102.49,6.29,-119.32,-12.71,,,-78.42,8.48,365.70,30.97,0.00,-22.60
Trustedgecapital,532056,,INE398H01015,Finance,Investment Company,133.75,123.42,0.93,1.44,0.18,18.64,75.22,-6.27,107.32,1.55,0.03,131.61,74.99,0.00,12.95
Tsf Investments,,TSFINV,INE202Z01029,Finance,Investment Company,407.20,9044.07,3.38,8.23,0.04,20.47,124.09,26.33,18.58,227.73,423.14,9137.12,54.99,0.00,-0.60
TTI Enterprise,538597,,INE404F01031,Finance,Non Banking Financial Company (NBFC),7.73,19.64,-3.79,-5.23,0.05,-47.03,-7.52,,,-1.11,0.00,20.94,18.57,0.00,-23.41
Turtlemint Fintech,544799,TURTLEMINT,INE0OC301013,Financial Technology (Fintech),Financial Technology (Fintech),152.65,4495.22,-35.65,-36.23,0.06,-11.88,37.78,15.76,,-135.58,34.02,4388.68,13.21,0.00,
TVS Holdings,520056,TVSHLTD,INE105A01035,Finance,Investment Company,13450.00,27212.18,16.95,30.61,5.59,15.84,19.99,40.02,13.69,8506.31,8942.71,57965.58,74.45,14.62,0.00
Typhoon Fin Ser,539468,,INE761R01013,Finance,Non Banking Financial Company (NBFC),33.31,10.00,1.62,1.08,0.00,28.95,16.40,58.74,142.86,0.11,0.00,9.99,66.91,0.00,0.00
U. Y. Fincorp,530579,UYFINCORP,INE152C01025,Finance,Non Banking Financial Company (NBFC),19.86,377.81,18.49,13.44,0.01,39.83,41.47,84.00,6.10,84.78,4.16,380.03,71.38,0.00,0.87
UCO Bank,532505,UCOBANK,INE691A01018,Banks,Public Sector Bank,25.48,31950.80,5.55,8.61,10.50,67.41,14.19,14.12,11.34,22242.06,4137.17,379539.25,90.95,0.00,-4.44
Ugro Capital,511742,UGROCAP,INE583D01011,Finance,Non Banking Financial Company (NBFC),86.96,1350.39,10.12,4.64,3.24,60.40,37.70,41.78,9.65,1106.49,130.43,8976.81,2.88,0.00,0.69
