Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Return on capital employed,Return on equity,Debt to equity,OPM,Sales growth 3Years,Profit growth 3Years,Price to Earning,EBIT,Net block,Enterprise Value,Promoter holding,Pledged percentage,Change in promoter holding 3Years
Indian Bank,532814,INDIANB,INE562A01011,Banks,Public Sector Bank,882.40,118856.10,6.32,15.45,10.64,67.74,14.49,28.07,9.30,58066.07,8592.00,979806.10,73.84,0.00,-6.02
Indian Energy Ex,540750,IEX,INE022Q01020,Capital Markets,Exchange and Data Platform,121.80,10860.82,51.79,39.40,0.01,84.91,14.92,19.63,22.29,645.17,96.63,10767.64,0.00,0.00,0.00
Indian Infotech,509051,,INE300B01022,Finance,Investment Company,0.57,96.30,0.65,0.48,0.00,1.11,10.86,31.28,200.62,0.65,0.00,96.25,11.53,0.00,-0.33
Indian Renewable,544026,IREDA,INE202E01016,Finance,Financial Institution,117.02,32873.62,8.69,15.58,5.65,87.09,33.62,29.39,16.74,7472.44,320.22,110002.10,71.76,0.00,
IndiaNivesh,501700,,INE131H01028,Finance,Non Banking Financial Company (NBFC),6.56,24.76,1.77,,,-29.85,,,,1.73,21.80,164.54,62.45,0.00,0.00
Inditrade Cap.,532745,,INE347H01012,Finance,Other Financial Services,2.77,6.47,-31.28,-72.26,2.44,-200.32,-35.63,,,-97.99,23.14,163.87,6.41,0.00,-67.22
Indl. Inv. Trust,501295,IITL,INE886A01014,Finance,Investment Company,156.53,352.94,-3.50,-2.84,0.00,-142.96,,,,-7.93,5.34,329.13,57.40,0.00,-0.57
Indl.& Prud.Inv.,501298,INDPRUD,INE620D01011,Finance,Investment Company,6302.50,1056.20,7.72,7.71,0.00,82.63,-3.53,12.53,17.35,61.04,0.00,1053.68,68.17,0.00,0.00
Indo Credit Cap.,526887,,INE147D01015,Finance,Non Banking Financial Company (NBFC),8.93,6.46,1.03,1.03,0.00,-38.46,48.12,33.01,64.60,0.10,0.86,6.41,14.51,0.00,0.00
Indo Thai Sec.,533676,INDOTHAI,INE337M01021,Capital Markets,Stockbroking & Allied,46.18,613.45,34.58,28.57,0.09,83.16,139.15,130.27,8.94,91.48,13.80,510.97,56.07,0.00,-16.11
Indostar Capital,541336,INDOSTAR,INE896L01010,Finance,Non Banking Financial Company (NBFC),258.85,4184.45,-2.58,-23.63,1.45,14.93,5.75,,,186.45,354.80,9350.83,70.36,0.00,-4.64
Indus Finance,531841,,INE935D01013,Finance,Non Banking Financial Company (NBFC),234.10,216.78,14.97,10.47,0.48,63.56,50.90,83.51,71.54,6.22,0.11,227.74,74.79,0.00,0.18
IndusInd Bank,532187,INDUSINDBK,INE095A01012,Banks,Private Sector Bank,994.00,77446.57,5.68,1.36,6.73,49.02,8.34,-50.74,58.57,29061.93,2419.52,490220.88,15.82,42.78,-0.67
Intec Capital,526871,,INE017E01018,Finance,Non Banking Financial Company (NBFC),14.40,26.45,20.12,20.38,0.59,128.24,19.64,31.52,8.88,7.88,12.02,47.28,71.04,0.00,-3.53
Integra Capital,531314,,INE366H01012,Finance,Non Banking Financial Company (NBFC),13.71,6.45,9.36,8.21,0.00,51.19,100.00,50.18,16.97,0.43,0.01,6.39,50.01,0.00,0.00
Inter Globe Fin,511391,,INE661M01016,Finance,Non Banking Financial Company (NBFC),59.50,80.71,3.17,1.79,0.06,-0.64,102.66,4.89,,2.04,0.59,83.25,58.46,0.00,-12.22
Interactive Fin,539692,,INE064T01018,Capital Markets,Other Capital Market related Services,13.99,9.70,16.35,12.02,0.03,56.91,39.41,44.09,2.36,5.63,0.23,10.40,0.00,0.00,0.00
Inventure Grow.,533506,INVENTURE,INE878H01024,Capital Markets,Stockbroking & Allied,0.96,100.80,2.22,1.27,0.13,4.08,6.69,-27.77,39.22,5.76,26.51,13.22,26.40,0.00,0.00
ISF,526859,,INE973B01026,Finance,Non Banking Financial Company (NBFC),0.77,7.32,-12.93,-13.19,0.19,-119.88,0.80,,,-1.92,0.00,9.47,0.64,0.00,0.00
ISL Consulting,511609,,INE569B01022,Finance,Other Financial Services,12.24,29.38,-17.01,-17.10,0.00,-1.98,1.94,,,-0.30,0.06,29.07,60.06,0.00,-0.07
J & K Bank,532209,J&KBANK,INE168A01041,Banks,Private Sector Bank,150.01,16518.84,5.84,15.37,10.46,70.91,12.02,25.99,7.17,10439.69,2514.36,187227.30,59.40,0.00,-4.01
J A Finance,543860,,INE825B01010,Finance,Non Banking Financial Company (NBFC),125.00,133.11,7.79,2.65,0.12,65.76,8.57,9.61,229.50,1.69,0.00,135.50,59.90,0.00,0.00
J J Finance Corp,523062,,INE584C01011,Finance,Non Banking Financial Company (NBFC),46.00,12.97,0.30,-0.40,0.00,-80.95,-0.82,,,-0.17,0.00,12.73,65.98,0.00,6.95
Jackson Invest,538422,,INE508N01025,Finance,Investment Company,0.38,11.05,5.33,8.08,0.00,33.96,-26.67,94.76,4.62,1.61,0.00,10.85,0.00,0.00,-0.19
Jagsonpal Services,530601,,INE582C01015,Finance,Non Banking Financial Company (NBFC),51.47,93.70,-35.47,-35.84,0.00,,,,,-5.25,3.15,83.94,61.10,0.00,5.16
Jana Small Finan,544118,JSFB,INE953L01027,Banks,Other Bank,541.00,5721.21,7.45,7.63,9.31,39.59,20.29,8.44,15.07,3216.47,198.69,44510.29,16.94,0.00,
Jayabharat Cred.,501311,,INE998D01011,Finance,Non Banking Financial Company (NBFC),13.93,6.97,,,,,,15.45,,-1.06,0.00,68.38,15.22,0.00,15.13
Jhaveri Credits,531550,,INE865D01012,Finance,Other Financial Services,172.35,191.34,2.63,2.62,0.08,-7.68,111.77,56.66,,-3.22,8.59,178.07,64.40,0.00,2.15
